Artikel	Bolag	"Adr klass"	RID-S-klassificering	Klassificeringskod	Packningsgrupp	Packningsinstruktioner	"Särskilda Packningsföreskrifter"	"Särskilda Packningsinslag"	"Särskilda Föreskrifter"	Tunnelbegränsningar	"Un nummer"	Transportnamn	Varningsetikett	Miljörisk	"Föreskrift för begränsad mängd"	"Föreskrift för minskad mängd"	Flampunkt	Lastningskoder	Användarinstruktioner	Farokod	Säkerhetsbroschyr	"Länk till säkerhetsbroschyr"	IMDG-KOD	ICAO-TI	"Minsta temperatur"	Hållbarhetstid	Temperaturkänslighet	"Vikt netto"	"Volym (L)"	"Farligt gods nivå"
1015904	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1015916	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1015921	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1015923	GG	8		C9	II	"P001, IBC02"				E	1760	"CORROSIVE LIQUID, N.O.S."		80	1	1	0	0		0	False		0		0	0	0	"12,55"	0	DG
1015924	GG	8		C9	II	"P001, IBC02"				E	1760	"CORROSIVE LIQUID, N.O.S."		80	1	1	0	0		0	False		0		0	0	0	"29,05"	0	DG
1015925	GG	21		6F	II	P002				D	1057	"LIGHTER REFILLS"			0	0	0	0		0	False		0		0	0	0	"11,4"	0	DG
1015926	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1015927	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1015931	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016041	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016042	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016093	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016097	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016115	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016116	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016117	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016118	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016124	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016155	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016185	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016196	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016206	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016222	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016230	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016368	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016375	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016382	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016503	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016612	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016613	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016621	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016638	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016639	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016640	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016647	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016650	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016653	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016658	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016659	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016661	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016664	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016665	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016671	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016681	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016689	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016690	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016691	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016692	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016693	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016697	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016883	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016899	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016917	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1016959	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017018	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017265	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017404	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017407	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017419	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017566	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017662	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017663	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017775	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017776	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017777	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017778	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017871	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1017872	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018061	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018067	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
