artikelnummer,max,pallid
12502-019-5-R,6.0,2641897
12502-019-6-R,6.0,2641912
12502-019-7-R,6.0,2641677
12502-019-7.5-R,5.0,2699226
12502-019-8-R,5.0,3678055
12502-019-8.5-R,6.0,2641681
12502-019-9-R,6.0,2641689
12502-019-9.5-R,6.0,2641683
12503-019-10-R,8.0,999124853
12503-186-10-R,6.0,3974678
12503-186-10-W,6.0,2730141
12503-186-10.5-R,6.0,2730157
12503-186-10.5-W,6.0,2730043
12503-186-11-R,6.0,2730459
12503-186-11.5-R,6.0,2730240
12503-186-11.5-W,6.0,2878571
12503-186-12-R,6.0,2730247
12503-186-13-R,6.0,2730243
12503-186-14-W,6.0,2730261
12503-186-15-R,6.0,2730182
12503-186-4-R,6.0,2730238
12503-186-5-R,6.0,2730038
12503-186-7-R,7.0,999124867
12503-186-7-W,6.0,2730155
12503-186-7.5-R,6.0,2730035
12503-186-8-R,6.0,2730143
12503-186-8.5-R,6.0,2730066
12503-186-8.5-W,6.0,2730156
12503-186-9-R,6.0,2730249
12503-186-9-W,6.0,2730159
12503-186-9.5-R,6.0,2730174
12503-389-10-R,6.0,2858815
12503-389-10.5-R,6.0,2858648
12503-389-11-R,6.0,2860473
12503-389-11.5-R,6.0,2730465
12503-389-12-R,6.0,2858691
12503-389-13-R,6.0,2858767
12503-389-13-W,6.0,2730071
12503-389-14-W,5.0,999119090
12503-389-5-R,6.0,2858803
12503-389-6-R,6.0,2858737
12503-389-7-R,6.0,2858738
12503-389-7-W,6.0,2730050
12503-389-7.5-R,6.0,2858733
12503-389-8-R,6.0,2858740
12503-389-8.5-R,6.0,2858670
12503-389-9-R,6.0,2858638
12503-389-9.5-R,6.0,2858701
12504-019-15-R,4.0,3975290
12504-019-4-R,4.0,2680279
12504-019-5-R,4.0,2677382
12506-019-10-R,6.0,2707465
12506-019-10.5-R,6.0,2707316
12506-019-11-R,6.0,2315025
12506-019-11.5-R,6.0,2707428
12506-019-12-R,6.0,2707453
12506-019-13-R,6.0,2707332
12506-019-14-R,6.0,2707328
12506-019-15-R,3.0,1936863
12506-019-4-R,3.0,1936952
12506-019-5-R,3.0,1936957
12506-019-6-R,4.0,999124896
12506-019-7-R,6.0,2707314
12506-019-7.5-R,6.0,2314957
12506-019-8-R,6.0,2707343
12506-019-8.5-R,6.0,2707488
12506-019-9-R,6.0,2707430
12506-019-9.5-R,6.0,2707470
12510-389-10-R,6.0,2929162
12510-389-11.5-R,6.0,2707419
12510-389-12-R,6.0,2707517
12510-389-13-R,5.0,3919763
12510-389-4-R,6.0,2650202
12510-389-7-R,35.0,3504166
12510-389-7.5-R,6.0,2707417
12510-389-8-R,6.0,2707405
12510-389-8.5-R,6.0,2707496
12511-019-10-R,6.0,2715856
12511-019-10.5-R,6.0,2707376
12511-019-11-R,6.0,2707361
12511-019-11.5-R,6.0,2314873
12511-019-12-R,6.0,2314827
12511-019-13-R,6.0,2314834
12511-019-14-R,2.0,999124887
12511-019-15-R,6.0,2650150
12511-019-4-R,54.0,2649982
12511-019-5-R,48.0,3520854
12511-019-6-R,54.0,2649979
12511-019-7-R,6.0,2314901
12511-019-7.5-R,6.0,2707340
12511-019-8-R,6.0,2707336
12511-019-8.5-R,6.0,2314851
12511-019-9-R,6.0,2314862
12511-019-9.5-R,6.0,2315014
127300,5.0,1868257
128369,9.0,1870231
128386,7.0,1870104
128550,7.0,1870095
128620,6.0,1868461
129153,7.0,1868501
129568,4.0,1862502
129569,4.0,1862508
129571,4.0,1862501
129573,4.0,1862514
129574,4.0,1862516
130336,300.0,4204097
130434,6.0,1868307
131671,6.0,1868225
131672,6.0,1868221
133601,4.0,1862519
133618,4.0,1862520
133657,5.0,1868272
134099,5.0,3768424
1620001-106-10,6.0,2954286
1620001-106-6,6.0,2954283
1620001-106-6.5,6.0,2954274
1620001-106-7,6.0,2954278
1620001-106-7.5,6.0,2954275
1620001-106-8,2.0,999124814
1620001-106-8.5,6.0,2954281
1620001-106-9,2.0,999124839
1620001-106-9.5,6.0,2954284
1720027-007-10-R,2.0,3713760
1720027-007-11-R,2.0,3713742
1720027-007-12-R,2.0,3713723
1720037-007-10-R,5.0,3010252
1720037-007-11-R,5.0,3010253
1720037-389-10-R,5.0,3010250
1720037-389-11-R,5.0,3010251
1720044-106-10-R,5.0,2569103
1720044-106-10.5-R,6.0,3677025
